"glytoucan_ac","pubchem_id","sequence_smiles_isomeric"
"G99739TG","439737","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)O)O)O)O)O)O)O)O)O)O)O"
"G86614XL","439764","C1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O"
"G01534TU","440405","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O"
"G03499BP","440511","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O"
"G61418DU","440552","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O"
"G09165XB","440658","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O"
"G37615KF","440921","C([C@H]1[C@@H]([C@H](C(O1)O)O)O)O"
"G14338VK","440950","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G45827GY","440993","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O"
"G04616ST","440994","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O"
"G74621DY","440995","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G14783GG","441033","C([C@@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O)O"
"G05946XD","441035","C([C@@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O"
"G78436BB","441248","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O"
"G19577LJ","441477","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)N)O)O)O"
"G51060EL","441481","C1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O"
"G74740WV","441487","C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O"
"G74556OQ","443248","C1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O"
"G08545ST","443265","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC(CO)CO)O)O)O)O"
"G76849VA","444173","C1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O"
"G28403NS","444200","C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O"
"G71133DJ","444314","C([C@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G85196CF","444863","C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O"
"G50850NI","444885","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O"
"G17927IW","445037","C1=C(O[C@H]([C@@H]([C@H]1O)O)O)C(=O)O"
"G76571JT","445063","CC(=O)N[C@@H]1[C@H](C[C@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O"
"G94923PG","445621","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)O"
"G26756OQ","445894","C([C@@H]1[C@H]([C@H]([C@H](O1)O)O)O)O"
"G57226ZS","445916","C1[C@@H]([C@H]([C@@H]([C@H](O1)O)O)O)O"
"G98006LH","445935","C([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O"
"G87171PZ","446495","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O)CO)CO)CO)O)O)O)O"
"G87251UV","446588","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O"
"G05026ZL","446943","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)O"
"G15255MA","447347","C([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O"
"G78317QO","448165","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O"
"G17475NE","448388","C([C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O"
