"glytoucan_ac","sequence_glycam_iupac"
"G45215IJ","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G45262QY","DGalpb1-3DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45264AM","DNeup5Aca2-6DGalpNAcb1-4DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45273EO","DNeup5Acb2-3DGalpb1-4DGlcpa1-"
"G45304XA","LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpNAca1-"
"G45333UL","DGlcpNAcb1-3[DGlcpNAcb1-6]DGalpb1-3DGalpNAca1-"
"G45335XP","DGalpb1-4DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3]DGalpNAcb1-"
"G45359RY","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45365RV","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45472PF","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-"
"G45480RU","DManpa1-2DManpa1-2DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAca1-"
"G45491TQ","DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-4[DNeup5Aca2-8DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G45522SR","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpb1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpb1-6]DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45557SY","DGlcpb1-6DGlcpa1-6DGlcpa1-"
"G45560HM","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45561WU","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpa1-3[DGlcpNAcb1-4]DGalpb1-4DGlcpb1-"
"G45578XY","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3/6[DManpa1-3/6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45579IH","DNeup5Aca2-3[DGalpb1-4]DGalpb1-3[DGlcpNAcb1-3[LFucpa1-4]DGlcpNAcb1-6]DGalpNAca1-"
"G45583TB","DGalpa1-4DGlcpNAca1-2DManpa1-6[DGlcpNAcb1-2DManpa1-3]DManpa1-4DGlcpNAcb1-4[LFucpb1-6]DGlcpNAcb1-"
"G45596OR","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6[DGalpb1-3]DGalpNAcb1-"
"G45603BW","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45614AE","DGalpNAcb1-4DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G45660WC","LFucpa1-2DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45664QZ","DNeup5Aca2-3DGalpb1-4[DFucpa1-3]DGlcpNAcb1-2DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G45686NF","DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGlcpNAcb1-2DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G45714BQ","DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-6]DGalpNAcb1-4DGalpb1-4DGlcpb1-"
"G45720CA","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45723HA","DManpa1-3DGalpNAcb1-"
"G45774GE","DGlcpNAcb1-2DGlcpb1-"
"G45777DE","DGlcpb1-4DGlcpNAcb1-2DManpa1-3[DGlcpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G45792OQ","DGlcpb1-3LFucpb1-"
"G45796AX","DGalpb1-3DGalpb1-4DGlcpb1-"
"G45832UN","DGalpa1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G45850GE","DGalpb1-3DGalpa1-6DGlcpb1-3DGlcpNAcb1-"
"G45889JQ","DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G45900FL","DManpa1-4DManpa1-4DManpa1-"
"G45939NL","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpNAca1-"
"G45964TO","DGalpNAcb1-3DGalpa1-3DGalpb1-3DGalpa1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G45967FN","LFucpa1-2DGalp[6S]b1-3DGlcpNAcb1-"
"G45996VR","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2/4[DGalpb1-4DGlcpNAcb1-2/4]DManpa1-3/6[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3/6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G46021KV","LFucpa1-2DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46026IB","DGalpa1-3DGalpb1-3DGalpNAcb1-"
"G46055MA","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-"
"G46077LS","DGalpa1-3[LFucpa1-2]DGalpb1-4[LFucpa1-3]DGalpb1-"
"G46123YD","DGlcpNAcb1-4DManpa1-3[DGlcpNAcb1-4DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46125KB","DGalpb1-2[DGalpb1-3]DGlcpb1-"
"G46133ML","LGalpNAcb1-"
"G46151MM","DManpa1-2[DManpa1-3][DXylfb1-6]DManpa1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G46185ND","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalp[3S]b1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46213JU","DGalpa1-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3[DManpa1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46237IC","DGlcpb1-2DGlcpb1-2DGlcpb1-2DManpa1-2DManpa1-2DManpa1-3[DManpa1-3[DManpa1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G46241AF","DGalpb1-3DGalpNAca1-3DGlcpNAcb1-"
"G46248BN","DGalpb1-4DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpb1-"
"G46255JU","DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G46264IO","DManpb1-6DManpb1-6DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46314PI","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46347BR","DManpa1-3DManpb1-4DGlcpNAcb1-4[LFucpb1-6]DGlcpNAca1-"
"G46353XO","DManpa1-2[DManpa1-6]DManpa1-3[DManpa1-3[DManpa1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G46387UV","DNeup5Aca2-3DGalp[6S]b1-4DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46406BL","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[LFucpa1-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46425HN","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpa1-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46436CA","DGalpa1-3LFucpa1-3DGlcpNAcb1-"
"G46449AK","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-6]DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46461VY","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G46503KK","LFucpa1-2DGalpb1-4DGlcpNAcb1-2DManpa1-3[LFucpa1-2DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46568RJ","DGalpb1-4DGlcpNAca1-6DGalpb1-4DGlcpNAcb1-"
"G46638GC","DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46661UU","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpa1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G46663MN","DGalpa1-2[DGlcpb1-3]DGlcpa1-"
"G46669WD","DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-3DGalpb1-"
"G46677TE","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G46712PI","DGalpb1-3DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46748BU","DNeup5Aca2-3DGalpb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpNAca1-"
"G46767VX","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G46774NB","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Ac[9A]a2-8DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G46776WR","DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-"
"G46836GH","DManpa1-2DManpa1-2DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G46849JR","DGalpa1-4[LFucpa1-2]DGalpb1-4DGlcpNAcb1-"
"G46852YU","DGalpb1-3DGalpNAca1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G46873LN","DNeup5Aca2-3[DGalpNAca1-4]DGalpa1-4DGlcpNAcb1-3[DGalpNAcb1-4]DGalpb1-4DGlcpb1-"
"G46874CY","DGlcpNAcb1-4[LFucpb1-3]DGlcpNAcb1-"
"G46926OL","DNeup5Aca2-3DGalpb1-3[DGalpb1-3/4DGlcpNAcb1-6]DGalpNAca1-"
"G46960QD","DManpa1-3[DManpa1-4]DManpa1-"
"G46986IR","DGalpb1-3DGlcpNAcb1-2DManpb1-"
"G47006SF","DManpa1-2DManpa1-6[DManpa1-2]DManpa1-6[DManpa1-3]DManpa1-6[DManpa1-3DManpa1-2DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47007PV","DGalp[3S]b1-4DGlcpNAcb1-2[DGalp[3S]b1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47011KD","DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-4DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47031UJ","DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6[DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47100PE","DGalpa1-6DGalpb1-"
"G47108UC","DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47163SC","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G47175EF","LFucpa1-2DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47178AC","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47180UC","LFucpa1-2DGalpb1-3[DNeup5Aca2-6]DGalpNAca1-"
"G47202ZJ","DGlcpa1-4DGlcpa1-4DGlcpa1-3DGlcpb1-"
"G47212KG","DManpa1-2DManpa1-2DManpa1-6[DManpa1-3]DManpa1-"
"G47255FJ","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-3DGalpb1-4DGalpb1-4DGlcpb1-"
"G47279LF","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47280HM","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-2]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47302FP","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6[DKDNpa2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47325QT","DNeup5Ac[9A]a1-"
"G47333HV","LFucpa1-2DGalpb1-3DGlcpNAcb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpb1-4DGlcpb1-"
"G47365KR","DGlcpa1-4DGlcpb1-6DGlcpa1-"
"G47410OF","DManpa1-2DManpa1-3DManpa1-6DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47416JM","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DManpa1-6]DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47446VC","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6[DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G47457DK","DManpa1-3[DManpa1-6]DManpa1-6[DManpb1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-"
"G47459CP","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3[DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-6]DGalpNAca1-"
"G47466ZF","DGalpb1-3[LFucpa1-2]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G47477HI","DManpa1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47548GA","DGalpa1-3[LFucpa1-2]DGalpb1-"
"G47554EG","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-6[DGalpb1-3DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47557KS","DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpNAca1-"
"G47566FL","DGlcpNAcb1-2DManpa1-3[DXylpb1-2][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47573PO","DGalp[6S]b1-3[DNeup5Aca2-6]DGalpNAca1-"
"G47579ND","DGulfb1-"
"G47606XQ","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47614ZH","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G47679MT","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47715OE","DGalpb1-4DGlcpNAcb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpb1-"
"G47773BX","DGalpb1-4DGlcpb1-6DGlcpNAcb1-"
"G47782UT","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G47822QX","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpNAcb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47854HN","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGlcpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G47859DD","DGalpb1-3DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47892ZK","DGlcpAb1-4DGlcpNAcb1-"
"G47911OL","DGlcpA[3S]b1-3DGalpb1-3DGalpb1-4DXylfb1-"
"G47911PU","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4[DFucpa1-3]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAca1-"
"G47920WV","DGalpb1-4[LFucpa1-3]DGlcpa1-"
"G47963XB","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpb1-4[DFucpa1-3]DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G47973RJ","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAca1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G47975JA","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalp[3S]b1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G48018RF","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48068RF","DManpa1-3DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48069JX","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6[DGlcpNAcb1-2]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48109OV","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-4[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2]DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G48115MG","DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-3/6[DGlcpNAcb1-2DManpa1-3/6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48124SB","DGlcpAb1-3DGlcpNAcb1-4DGlcpAb1-3DGlcpNAcb1-"
"G48133IU","DGlcpa1-4DGlcpa1-3DGlcpa1-"
"G48148JS","DManpa1-2DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-2DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-"
"G48156QU","DGalfb1-6DGlcpa1-"
"G48168SI","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G48189XH","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAca1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAca1-4DGlcpNAcb1-"
"G48236RC","DNeup5Aca2-6DGalpb1-3DGalpNAcb1-4DGalpb1-4DGlcpb1-"
"G48275ZJ","DGalpb1-4DGlcpNAcb1-6DGlcpa1-"
"G48277OH","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpa1-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G48285RM","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpa1-3DGalpb1-4DGlcpb1-"
"G48288NV","DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G48329CR","DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G48350AZ","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6[DGlcpa1-3DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48428NF","DGulfa1-"
"G48440GN","LFucpa1-2DGalpb1-4DGlcpNAcb1-6DGalpNAca1-"
"G48458AB","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3[DGalpb1-4DGlcpNAcb1-2]DManpb1-3[DGalpb1-4DGlcpNAcb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48459HT","DGlcpa1-4DGlcpa1-4DGlcpa1-1DGlcpa1-"
"G48468PF","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4[DGalpb1-4DGlcpNAca1-2]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGlcpa1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48524PJ","DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-"
"G48558GR","DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G48595FA","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpb1-6]DGlcpNAca1-"
"G48597RA","DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G48635LN","DGalpNAcb1-3[DNeup5Aca2-4]DGalpb1-4DGlcpb1-"
"G48658CL","DManpa1-2DManpa1-3DManpa1-3[DManpa1-2DManpa1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48658PB","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48753IC","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G48767NV","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
