"glytoucan_ac","sequence_glycam_iupac"
"G00887EN","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6DManpa1-6DManpb1-"
"G00891MP","DManpa1-3DManpa1-"
"G00903RX","LIdopAa1-3DGalpNAc[6S]b1-"
"G00909GK","DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6[DGlcpNAcb1-4DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00909PI","DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-2]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00924FH","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpNAca1-"
"G00925PQ","DManpa1-6DManpa1-3[DXylpb1-2]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G00944OL","DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3]DGalpNAca1-"
"G00951UF","DGlcpNAcb1-2[DGlcpNAcb1-4][DGlcpNAcb1-6]DManpa1-6[DGlcpNAcb1-2DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00977CB","DXylpa1-6DGlcpb1-"
"G00978GW","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-"
"G00979XR","DGalpb1-4DGlcpNAcb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpb1-3[DGalpb1-4DGlcpNAcb1-6]DGalpNAca1-"
"G00986YT","DGalpb1-4DGlcpNAcb1-4DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01010HW","DGalpNAcb1-4DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G01069AK","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4[DFucpa1-3]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G01148IL","DGalpb1-4DGlcpb1-3DGlcpNAcb1-"
